institutions,description,start_year,cities,countries,countries_a3,is_new
EuroMeSCo,,,"Barcelona, Tunis, Beirut, Hevel Eilot Israel, Rabat, Marseille, Amman, Split, San Domenico di Fiesole Italy, Toulon France, Louvain-la-Neuve Belgium, Birkhadem Alger, Tel Aviv, Gammarth Tunisia, Zagreb, Naples Italy, Milan, Catania Sicily, Carthage Tunisia, Talence France, Ramat Gan Israel, Lisboa, Gaza Palestine, Al-Quds Israel, Nicosia, Sin el Fil Lebanon, Be’er Sheva Israel",Israel,ISR,FALSE
IPSS in Addis Abeba,,,,Ethiopia,ETH,FALSE
"GNET: King’s College London, RSIS Singapur, Lowy Institute Sydney Australien",,,,Australia,AUS,FALSE
"ACONA: Woodrow Wilson Center Washington DC, University of Iceland Reykjavik, Higher School of Economics Moscow, Moscow State Institute of International Relations (gibt es diese Kooperationen noch?)",,,,Iceland,ISL,FALSE
"Goethe-Universität Frankfurt/M. (Masterstudiengang, Ausbildungsleistungen, Promovierendenbetreuung, gemeinsames Weiterbildungsprogramm für Wissenschaftlerinnen)",,,Frankfurt,Germany,DEU,FALSE
"Technische Universität Darmstadt (Masterstudiengang, Ausbildungsleistungen, Promovierendenbetreuung)",,,Darmstadt,Germany,DEU,FALSE
DIPF,,,,,#N/A,FALSE
Zentrum für Konfliktforschung der Philipps-Universität Marburg,,,Marburg,Germany,DEU,FALSE
Justus-Liebig-Universität Gießen,,,Gießen,Germany,DEU,FALSE
Deutsches Polen-Institut Darmstadt,,,Darmstadt,Germany,DEU,FALSE
"Herder-Institut für historische Ostmitteleuropaforschung, Marburg",,,Marburg,Germany,DEU,FALSE
"TraCe mit Goethe-Uni, Uni Gießen, Marburg, TU Darmstadt",,,Darmstadt,Germany,DEU,FALSE
"Sollten hier auch Kooperationen im Bereich Veranstaltungen auftauchen? Z.B. Frankfurter Rundschau, Haus am Dom, evangelische Akademie, Böll-Stiftung-Hessen, Bildungsstätte Anne Frank? Stadtbücherei mit Ideen für den Frieden? Weitere? (zeigt: lokale und regionale Verankerung und Vernetzung auch in gesellschaftl. Öffentlichkeit und Transfer)",,,,,#N/A,FALSE
ANCIP mit Unis Leipzig und Duisburg-Essen,,,Essen,Germany,DEU,TRUE
"CBWNet mit Berliner Büro des Instituts für Friedensforschung und Sicherheitspolitik (IFSH) an der Universität Hamburg, der Professur für Öffentliches Recht und Völkerrecht an der Justus-Liebig-Universität Gießen und dem Carl Friedrich von Weizsäcker Zentrum für Naturwissenschaft und Friedensforschung (ZNF) an der Universität Hamburg",,,Berlin,Germany,DEU,TRUE
"TraCe (für Hessen, aber mit allen Partnern gibt es auch schon Kooperationen)",,,,,#N/A,TRUE
FGA?,,,,,#N/A,TRUE
Workshop in Accra gemeinsam mit dem Kofi Annan International Peacekeeping Training Centre (KAIPTC) in Ghana und dem äthiopischen Institute for Peace and Security Studies (IPSS),,,,Ghana,GHA,TRUE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
,,,,,,FALSE
